timestamp,current_price,pred_high,pred_low,pred_close,pred_change_%,atr,volatility,trend,signal,confidence,rsi
2025-12-23 21:31:43.172844,0.3636,0.3666999936103821,0.36399999260902405,0.3653999865055084,0.49,0.0033,0.9,SIDEWAYS,HOLD,50.0,48.7
2025-12-23 21:37:07.638915,0.3634,0.3666999936103821,0.36399999260902405,0.3653999865055084,0.55,0.0033,0.9,SIDEWAYS,HOLD,50.0,48.3
2025-12-23 21:48:45.422807,0.3633,0.3666999936103821,0.36399999260902405,0.3653999865055084,0.57,0.0033,0.9,SIDEWAYS,HOLD,50.0,48.2
2025-12-23 21:59:47.420855,0.3635,0.3666999936103821,0.36399999260902405,0.3653999865055084,0.54,0.0033,0.9,SIDEWAYS,HOLD,50.0,48.4
2025-12-23 22:29:32.294604,0.3624,0.3668000102043152,0.36410000920295715,0.36550000309944153,0.87,0.0033,0.91,SIDEWAYS,HOLD,50.0,47.9
2025-12-23 22:47:13.779638,0.362,0.3668000102043152,0.36410000920295715,0.36550000309944153,0.95,0.0034,0.93,SIDEWAYS,HOLD,50.0,47.5
2025-12-23 22:58:11.664826,0.3618,0.3668000102043152,0.36410000920295715,0.36550000309944153,1.02,0.0034,0.93,SIDEWAYS,BUY,70.2,47.2
2025-12-23 23:24:59.028303,0.3615,0.3666999936103821,0.36399999260902405,0.3653999865055084,1.08,0.0033,0.92,SIDEWAYS,BUY,70.8,46.1
2025-12-23 23:40:30.877274,0.3632,0.3668000102043152,0.36410000920295715,0.36550000309944153,0.64,0.0034,0.94,SIDEWAYS,HOLD,50.0,48.5
2025-12-23 23:52:04.903620,0.3633,0.3668000102043152,0.36410000920295715,0.36550000309944153,0.62,0.0034,0.94,SIDEWAYS,HOLD,50.0,48.7
2025-12-24 00:48:33.081910,0.3628,0.3666999936103821,0.36399999260902405,0.3653999865055084,0.73,0.0032,0.89,SIDEWAYS,HOLD,50.0,45.0
2025-12-24 02:33:23.436955,0.3597,0.36660000681877136,0.36390000581741333,0.3652999997138977,1.54,0.0032,0.89,SIDEWAYS,BUY,75.4,42.1
2025-12-24 04:05:47.751264,0.3599,0.39480000734329224,0.3921000063419342,0.3935000002384186,9.33,0.0029,0.8,SIDEWAYS,BUY,90.0,56.8
2025-12-24 04:49:15.438419,0.3589,0.39480000734329224,0.3919999897480011,0.3935000002384186,9.63,0.003,0.84,SIDEWAYS,BUY,90.0,54.7
2025-12-24 05:17:46.602922,0.3575,0.39430001378059387,0.39149999618530273,0.3930000066757202,9.92,0.0027,0.77,SIDEWAYS,BUY,90.0,43.6
2025-12-24 05:41:19.320595,0.3565,0.39419999718666077,0.39149999618530273,0.3928999900817871,10.2,0.0028,0.79,SIDEWAYS,BUY,90.0,42.0
2025-12-24 05:46:39.056750,0.3563,0.39419999718666077,0.39149999618530273,0.3928999900817871,10.26,0.0028,0.79,SIDEWAYS,BUY,90.0,41.7
2025-12-24 05:55:36.904295,0.3568,0.39419999718666077,0.39149999618530273,0.3928999900817871,10.11,0.0028,0.79,SIDEWAYS,BUY,90.0,42.5
2025-12-24 06:05:30.198754,0.3554,0.3935000002384186,0.39079999923706055,0.3921999931335449,10.36,0.0026,0.73,SIDEWAYS,BUY,90.0,30.8
2025-12-24 06:20:11.896844,0.3548,0.3935000002384186,0.39079999923706055,0.3921999931335449,10.55,0.0027,0.75,SIDEWAYS,BUY,100.0,29.9
2025-12-24 06:36:17.452407,0.3561,0.3935999870300293,0.39079999923706055,0.392300009727478,10.16,0.0027,0.75,SIDEWAYS,BUY,90.0,31.8
2025-12-24 06:50:40.769607,0.3567,0.3935999870300293,0.39079999923706055,0.392300009727478,9.98,0.0027,0.76,SIDEWAYS,BUY,90.0,33.7
2025-12-24 06:55:34.186991,0.357,0.3935999870300293,0.39079999923706055,0.392300009727478,9.9,0.0027,0.76,SIDEWAYS,BUY,90.0,34.4
2025-12-24 07:17:15.600777,0.357,0.39309999346733093,0.3903000056743622,0.3917999863624573,9.74,0.0025,0.7,SIDEWAYS,BUY,90.0,39.8
2025-12-24 07:43:10.859957,0.3573,0.39309999346733093,0.3903000056743622,0.3917999863624573,9.65,0.0025,0.71,SIDEWAYS,BUY,90.0,40.7
2025-12-24 07:52:45.974849,0.3573,0.39309999346733093,0.3903000056743622,0.3917999863624573,9.64,0.0025,0.71,SIDEWAYS,BUY,90.0,40.9
